AllGroups	Group	Subject	Version	BlockOrder	Block	PrimeTarget	Trial	List	Decision	CorrResp	Sign	Filename	View	Angle	from0	SignType	Item	PairChange	Difficulty	AngleChange	ACC	ErrorRate	RESP	RT	Priming	PercentFaster	AccChange	EXCLUDERT	EXCLUDEACC	ExclPractice	Excl135Deg	ExclOpposite	ExclItem	ExclSlow	ExclPairExcl	ExclIncorrect	ExclPairIncorr
L2_Fluent	M2L2	S132	V1a_F0_J1	3	Block2	prime	72	114	edible	no	HAMMER	HAMMER_0.avi	1	0	0	1h	234	0to90	harder	90	1	0	f	3411	1213	0.55	0	1	1	0	0	0	0	1	0	0	0
L2_Fluent	M2L2	S132	V1a_F0_J1	5	Block4	target	57	114	edible	no	HAMMER	HAMMER_90L.avi	4	90L	90	1h	234	0to90	harder	90	1	0	f	2198	1213	0.55	0	1	1	0	0	0	0	0	1	0	0
L2_Fluent	M2L2	S132	V1a_F0_J1	2	Block1	prime	117	47	living	no	HAMSTER	HAMSTER_45R.avi	3	45R	45	2hs	47	90opp	opposite	90	1	0	j	2403	176	0.08	0	1	1	0	0	1	0	0	0	0	0
L2_Fluent	M2L2	S132	V1a_F0_J1	4	Block3	target	17	47	living	no	HAMSTER	HAMSTER_45L.avi	2	45L	45	2hs	47	90opp	opposite	90	1	0	j	2227	176	0.08	0	1	1	0	0	1	0	0	0	0	0
L2_Fluent	M2L2	S132	V1a_F0_J1	2	Block1	prime	25	74	living	no	HAT	HAT_90L.avi	4	90L	90	2hs	74	90to90	same	0	1	0	f	1471	-126	-0.08	0	0	0	0	0	0	0	0	0	0	0
L2_Fluent	M2L2	S132	V1a_F0_J1	4	Block3	target	89	74	living	no	HAT	HAT_90L.avi	4	90L	90	2hs	74	90to90	same	0	1	0	f	1597	-126	-0.08	0	0	0	0	0	0	0	0	0	0	0
L2_Fluent	M2L2	S132	V1a_F0_J1	3	Block2	prime	103	71	edible	no	HEAD	HEAD_45R.avi	3	45R	45	1h	191	45to45	same	0	1	0	f	1869	-11	-0.01	0	0	0	0	0	0	0	0	0	0	0
L2_Fluent	M2L2	S132	V1a_F0_J1	5	Block4	target	61	71	edible	no	HEAD	HEAD_45R.avi	3	45R	45	1h	191	45to45	same	0	1	0	f	1880	-11	-0.01	0	0	0	0	0	0	0	0	0	0	0
L2_Fluent	M2L2	S132	V1a_F0_J1	3	Block2	prime	54	76	edible	no	HELICOPTER	HELICOPTER_90L.avi	4	90L	90	2hd	196	90to90	same	0	1	0	f	2781	1174	0.73	0	0	0	0	0	0	0	0	0	0	0
L2_Fluent	M2L2	S132	V1a_F0_J1	5	Block4	target	81	76	edible	no	HELICOPTER	HELICOPTER_90L.avi	4	90L	90	2hd	196	90to90	same	0	1	0	f	1607	1174	0.73	0	0	0	0	0	0	0	0	0	0	0
L2_Fluent	M2L2	S132	V1a_F0_J1	2	Block1	prime	109	81	living	no	HILL	HILL_0.avi	1	0	0	1h	81	0to45	harder	45	1	0	f	2517	239	0.10	0	0	0	0	0	0	0	0	0	0	0
L2_Fluent	M2L2	S132	V1a_F0_J1	4	Block3	target	86	81	living	no	HILL	HILL_45L.avi	2	45L	45	1h	81	0to45	harder	45	1	0	f	2278	239	0.10	0	0	0	0	0	0	0	0	0	0	0
L2_Fluent	M2L2	S132	V1a_F0_J1	2	Block1	prime	60	30	living	yes	HORSE	HORSE_0.avi	1	0	0	2hs	30	0to45	harder	45	1	0	j	1750	-108	-0.06	0	0	0	0	0	0	0	0	0	0	0
L2_Fluent	M2L2	S132	V1a_F0_J1	4	Block3	target	34	30	living	yes	HORSE	HORSE_45R.avi	3	45R	45	2hs	30	0to45	harder	45	1	0	j	1858	-108	-0.06	0	0	0	0	0	0	0	0	0	0	0
L2_Fluent	M2L2	S132	V1a_F0_J1	3	Block2	prime	85	115	edible	no	HOSE	HOSE_90L.avi	4	90L	90	2hd	235	90to0	easier	90	1	0	f	3211	642	0.25	0	1	1	0	0	0	1	0	0	0	0
